s,A(s) (GHz),B(s) (GHz),c (normalized)
0.642,0.00816721,3.75365500,0.55588540
0.643,0.00793474,3.76246200,0.55667070
0.644,0.00774988,3.77128000,0.55747750
0.645,0.00756501,3.78010800,0.55828430
0.646,0.00738014,3.78894700,0.55909110
0.647,0.00719527,3.79779500,0.55989790
0.648,0.00701040,3.80665400,0.56070470
0.649,0.00682554,3.81552400,0.56151150
0.650,0.00664067,3.82440300,0.56231820
0.651,0.00645580,3.83329300,0.56312500
0.652,0.00627093,3.84219400,0.56393180
0.653,0.00608606,3.85110400,0.56473860
0.654,0.00590119,3.86002500,0.56554540
0.655,0.00574621,3.86895600,0.56636600
0.656,0.00560827,3.87789800,0.56719430
0.657,0.00547033,3.88685000,0.56802270
0.658,0.00533239,3.89581200,0.56885100
0.659,0.00519445,3.90478500,0.56967940
0.660,0.00505651,3.91376800,0.57050780
0.661,0.00491857,3.92276100,0.57133610
0.662,0.00478063,3.93176400,0.57216450
0.663,0.00464269,3.94077800,0.57299290
0.664,0.00450475,3.94980200,0.57382120
0.665,0.00438697,3.95883700,0.57466440
0.666,0.00427763,3.96788200,0.57551380
0.667,0.00416829,3.97693700,0.57636320
0.668,0.00405896,3.98600200,0.57721260
0.669,0.00394962,3.99507800,0.57806200
0.670,0.00384028,4.00416400,0.57891140
0.671,0.00373094,4.01326000,0.57976080
0.672,0.00362161,4.02236700,0.58061010
0.673,0.00351227,4.03148400,0.58145950
0.674,0.00340293,4.04061100,0.58230890
0.675,0.00329359,4.04974900,0.58315830
0.676,0.00320791,4.05889700,0.58402540
0.677,0.00312633,4.06805500,0.58489560
0.678,0.00304474,4.07722400,0.58576580
0.679,0.00296316,4.08640300,0.58663600
0.680,0.00288158,4.09559200,0.58750620
0.681,0.00279999,4.10479200,0.58837640
0.682,0.00271841,4.11400200,0.58924660
0.683,0.00263683,4.12322200,0.59011680
0.684,0.00255525,4.13245300,0.59098700
0.685,0.00248097,4.14169400,0.59186610
0.686,0.00241671,4.15094500,0.59275760
0.687,0.00235246,4.16020600,0.59364910
0.688,0.00228820,4.16947800,0.59454050
0.689,0.00222395,4.17876000,0.59543200
0.690,0.00215970,4.18805300,0.59632350
0.691,0.00209544,4.19735600,0.59721500
0.692,0.00203119,4.20666900,0.59810640
0.693,0.00196693,4.21599200,0.59899790
0.694,0.00190268,4.22532600,0.59988940
0.695,0.00183939,4.23467000,0.60078200
0.696,0.00179119,4.24402400,0.60169310
0.697,0.00174299,4.25338900,0.60260430
0.698,0.00169479,4.26276400,0.60351540
0.699,0.00164659,4.27215000,0.60442650
0.700,0.00159839,4.28154500,0.60533760
0.701,0.00155019,4.29095100,0.60624870
0.702,0.00150199,4.30036800,0.60715990
0.703,0.00145379,4.30979400,0.60807100
0.704,0.00140640,4.31923100,0.60898370
0.705,0.00136771,4.32867900,0.60991410
0.706,0.00132902,4.33813600,0.61084450
0.707,0.00129033,4.34760400,0.61177490
0.708,0.00125164,4.35708200,0.61270520
0.709,0.00121295,4.36657100,0.61363560
0.710,0.00117426,4.37607000,0.61456600
0.711,0.00113557,4.38557900,0.61549640
0.712,0.00109688,4.39509900,0.61642670
0.713,0.00105819,4.40462800,0.61735710
0.714,0.00102072,4.41416900,0.61828980
0.715,0.00099199,4.42371900,0.61923950
0.716,0.00096326,4.43328000,0.62018910
0.717,0.00093453,4.44285100,0.62113880
0.718,0.00090580,4.45243300,0.62208840
0.719,0.00087707,4.46202400,0.62303810
0.720,0.00084834,4.47162600,0.62398780
0.721,0.00081961,4.48123900,0.62493740
0.722,0.00079088,4.49086200,0.62588710
0.723,0.00076541,4.50049500,0.62684780
0.724,0.00074282,4.51013800,0.62781810
0.725,0.00072022,4.51979200,0.62878850
0.726,0.00069763,4.52945600,0.62975890
0.727,0.00067503,4.53913000,0.63072930
0.728,0.00065243,4.54881500,0.63169970
0.729,0.00062984,4.55851000,0.63267010
0.730,0.00060724,4.56821500,0.63364040
0.731,0.00058465,4.57793100,0.63461080
0.732,0.00056205,4.58765700,0.63558120
0.733,0.00054547,4.59739300,0.63657150
0.734,0.00052919,4.60714000,0.63756280
0.735,0.00051291,4.61689600,0.63855400
0.736,0.00049662,4.62666400,0.63954530
0.737,0.00048034,4.63644100,0.64053660
0.738,0.00046405,4.64622900,0.64152780
0.739,0.00044777,4.65602700,0.64251910
0.740,0.00043149,4.66583600,0.64351040
0.741,0.00041780,4.67565500,0.64451670
0.742,0.00040497,4.68548400,0.64552780
0.743,0.00039213,4.69532300,0.64653900
0.744,0.00037929,4.70517300,0.64755020
0.745,0.00036645,4.71503300,0.64856140
0.746,0.00035361,4.72490400,0.64957250
0.747,0.00034077,4.73478400,0.65058370
0.748,0.00032793,4.74467600,0.65159490
0.749,0.00031509,4.75457700,0.65260610
0.750,0.00030414,4.76448900,0.65362800
0.751,0.00029474,4.77441100,0.65465870
0.752,0.00028533,4.78434300,0.65568940
0.753,0.00027593,4.79428600,0.65672020
0.754,0.00026652,4.80423900,0.65775090
0.755,0.00025711,4.81420200,0.65878160
0.756,0.00024771,4.82417600,0.65981230
0.757,0.00023830,4.83416000,0.66084300
0.758,0.00023021,4.84415400,0.66188680
0.759,0.00022278,4.85415900,0.66293710
0.760,0.00021535,4.86417300,0.66398740
0.761,0.00020791,4.87419900,0.66503780
0.762,0.00020048,4.88423400,0.66608810
0.763,0.00019305,4.89428000,0.66713840
0.764,0.00018562,4.90433600,0.66818870
0.765,0.00017818,4.91440300,0.66923910
0.766,0.00017075,4.92448000,0.67028940
0.767,0.00016490,4.93456700,0.67135480
0.768,0.00015943,4.94466400,0.67242390
0.769,0.00015396,4.95477200,0.67349300
0.770,0.00014849,4.96489000,0.67456200
0.771,0.00014301,4.97501900,0.67563110
0.772,0.00013754,4.98515800,0.67670010
0.773,0.00013207,4.99530700,0.67776920
0.774,0.00012684,5.00546600,0.67884240
0.775,0.00012256,5.01563600,0.67993220
0.776,0.00011828,5.02581600,0.68102190
0.777,0.00011400,5.03600600,0.68211170
0.778,0.00010972,5.04620700,0.68320140
0.779,0.00010544,5.05641800,0.68429120
0.780,0.00010116,5.06663900,0.68538090
0.781,0.00009688,5.07687100,0.68647070
0.782,0.00009260,5.08711300,0.68756040
0.783,0.00008915,5.09736500,0.68866350
0.784,0.00008613,5.10762800,0.68977380
0.785,0.00008311,5.11790100,0.69088400
0.786,0.00008009,5.12818400,0.69199420
0.787,0.00007707,5.13847800,0.69310450
0.788,0.00007405,5.14878200,0.69421470
0.789,0.00007103,5.15909600,0.69532490
0.790,0.00006824,5.16942000,0.69644230
0.791,0.00006587,5.17975500,0.69757300
0.792,0.00006349,5.19010000,0.69870370
0.793,0.00006112,5.20045600,0.69983440
0.794,0.00005875,5.21082200,0.70096510
0.795,0.00005638,5.22119800,0.70209580
0.796,0.00005401,5.23158400,0.70322660
0.797,0.00005164,5.24198100,0.70435730
0.798,0.00004933,5.25238800,0.70548980
0.799,0.00004764,5.26280600,0.70664050
0.800,0.00004594,5.27323300,0.70779110
0.801,0.00004425,5.28367200,0.70894180
0.802,0.00004256,5.29412000,0.71009250
0.803,0.00004087,5.30457900,0.71124310
0.804,0.00003918,5.31504800,0.71239380
0.805,0.00003751,5.32552700,0.71354560
0.806,0.00003617,5.33601700,0.71471640
0.807,0.00003483,5.34651700,0.71588720
0.808,0.00003350,5.35702700,0.71705800
0.809,0.00003216,5.36754800,0.71822880
0.810,0.00003083,5.37807900,0.71939960
0.811,0.00002949,5.38862000,0.72057040
0.812,0.00002816,5.39917100,0.72174120
0.813,0.00002685,5.40973300,0.72291360
0.814,0.00002590,5.42030600,0.72410460
0.815,0.00002496,5.43088800,0.72529570
0.816,0.00002401,5.44148100,0.72648680
0.817,0.00002306,5.45208400,0.72767790
0.818,0.00002212,5.46269800,0.72886890
0.819,0.00002117,5.47332200,0.73006000
0.820,0.00002028,5.48395600,0.73125660
0.821,0.00001952,5.49460000,0.73246650
0.822,0.00001877,5.50525500,0.73367650
0.823,0.00001801,5.51592000,0.73488650
0.824,0.00001726,5.52659600,0.73609650
0.825,0.00001650,5.53728100,0.73730650
0.826,0.00001575,5.54797700,0.73851650
0.827,0.00001499,5.55868400,0.73972650
0.828,0.00001435,5.56940100,0.74094680
0.829,0.00001380,5.58012800,0.74217490
0.830,0.00001325,5.59086500,0.74340300
0.831,0.00001269,5.60161300,0.74463100
0.832,0.00001214,5.61237100,0.74585910
0.833,0.00001159,5.62313900,0.74708720
0.834,0.00001103,5.63391800,0.74831530
0.835,0.00001060,5.64470700,0.74956380
0.836,0.00001017,5.65550600,0.75081300
0.837,0.00000974,5.66631600,0.75206210
0.838,0.00000930,5.67713600,0.75331130
0.839,0.00000887,5.68796600,0.75456050
0.840,0.00000844,5.69880600,0.75580960
0.841,0.00000801,5.70965700,0.75705880
0.842,0.00000764,5.72051800,0.75831830
0.843,0.00000734,5.73139000,0.75958830
0.844,0.00000705,5.74227200,0.76085840
0.845,0.00000675,5.75316400,0.76212850
0.846,0.00000645,5.76406700,0.76339860
0.847,0.00000615,5.77497900,0.76466870
0.848,0.00000587,5.78590200,0.76594130
0.849,0.00000563,5.79683600,0.76723180
0.850,0.00000540,5.80778000,0.76852240
0.851,0.00000516,5.81873400,0.76981290
0.852,0.00000493,5.82969800,0.77110340
0.853,0.00000469,5.84067300,0.77239400
0.854,0.00000446,5.85165800,0.77368450
0.855,0.00000422,5.86265300,0.77497500
0.856,0.00000405,5.87365900,0.77628320
0.857,0.00000389,5.88467500,0.77759380
0.858,0.00000372,5.89570100,0.77890440
0.859,0.00000356,5.90673800,0.78021500
0.860,0.00000339,5.91778500,0.78152560
0.861,0.00000323,5.92884200,0.78283620
0.862,0.00000309,5.93991000,0.78416190
0.863,0.00000296,5.95098800,0.78549360
0.864,0.00000283,5.96207600,0.78682540
0.865,0.00000270,5.97317500,0.78815710
0.866,0.00000257,5.98428400,0.78948890
0.867,0.00000244,5.99540300,0.79082060
0.868,0.00000231,6.00653300,0.79215240
0.869,0.00000221,6.01767200,0.79349850
0.870,0.00000212,6.02882300,0.79485120
0.871,0.00000203,6.03998300,0.79620400
0.872,0.00000194,6.05115400,0.79755670
0.873,0.00000185,6.06233500,0.79890950
0.874,0.00000176,6.07352700,0.80026220
0.875,0.00000168,6.08472800,0.80162830
0.876,0.00000161,6.09594000,0.80299960
0.877,0.00000153,6.10716300,0.80437090
0.878,0.00000146,6.11839600,0.80574210
0.879,0.00000139,6.12963900,0.80711340
0.880,0.00000132,6.14089200,0.80848470
0.881,0.00000124,6.15215600,0.80985590
0.882,0.00000119,6.16343000,0.81124350
0.883,0.00000114,6.17471400,0.81263280
0.884,0.00000108,6.18600900,0.81402220
0.885,0.00000103,6.19731400,0.81541150
0.886,0.00000098,6.20862900,0.81680090
0.887,0.00000092,6.21995500,0.81819190
0.888,0.00000088,6.23129100,0.81960400
0.889,0.00000084,6.24263700,0.82101620
0.890,0.00000080,6.25399400,0.82242830
0.891,0.00000076,6.26536100,0.82384050
0.892,0.00000072,6.27673800,0.82525270
0.893,0.00000068,6.28812500,0.82666480
0.894,0.00000064,6.29952300,0.82808700
0.895,0.00000062,6.31093200,0.82952140
0.896,0.00000059,6.32235000,0.83095580
0.897,0.00000056,6.33377900,0.83239030
0.898,0.00000053,6.34521800,0.83382470
0.899,0.00000051,6.35666800,0.83525920
0.900,0.00000048,6.36812700,0.83670890
0.901,0.00000046,6.37959800,0.83816200
0.902,0.00000044,6.39107800,0.83961510
0.903,0.00000042,6.40256900,0.84106810
0.904,0.00000039,6.41407000,0.84252120
0.905,0.00000037,6.42558100,0.84397430
0.906,0.00000035,6.43710300,0.84543450
0.907,0.00000034,6.44863500,0.84690630
0.908,0.00000032,6.46017700,0.84837810
0.909,0.00000030,6.47173000,0.84984990
0.910,0.00000029,6.48329300,0.85132170
0.911,0.00000027,6.49486600,0.85279350
0.912,0.00000026,6.50645000,0.85428460
0.913,0.00000025,6.51804400,0.85577820
0.914,0.00000023,6.52964800,0.85727180
0.915,0.00000022,6.54126300,0.85876540
0.916,0.00000021,6.55288800,0.86025900
0.917,0.00000020,6.56452300,0.86175260
0.918,0.00000018,6.57616900,0.86325930
0.919,0.00000018,6.58782500,0.86477390
0.920,0.00000017,6.59949100,0.86628840
0.921,0.00000016,6.61116700,0.86780290
0.922,0.00000015,6.62285400,0.86931740
0.923,0.00000014,6.63455100,0.87083800
0.924,0.00000014,6.64625900,0.87237360
0.925,0.00000013,6.65797700,0.87390910
0.926,0.00000012,6.66970500,0.87544470
0.927,0.00000011,6.68144300,0.87698030
0.928,0.00000011,6.69319200,0.87851590
0.929,0.00000010,6.70495100,0.88005570
0.930,0.00000010,6.71672100,0.88161220
0.931,0.00000009,6.72850000,0.88316870
0.932,0.00000009,6.74029100,0.88472520
0.933,0.00000008,6.75209100,0.88628170
0.934,0.00000008,6.76390200,0.88783830
0.935,0.00000007,6.77572300,0.88941680
0.936,0.00000007,6.78755400,0.89099530
0.937,0.00000007,6.79939600,0.89257380
0.938,0.00000006,6.81124800,0.89415230
0.939,0.00000006,6.82311000,0.89573080
0.940,0.00000006,6.83498300,0.89731110
0.941,0.00000005,6.84686600,0.89891100
0.942,0.00000005,6.85875900,0.90051100
0.943,0.00000005,6.87066200,0.90211090
0.944,0.00000004,6.88257600,0.90371090
0.945,0.00000004,6.89450100,0.90531150
0.946,0.00000004,6.90643500,0.90693130
0.947,0.00000004,6.91838000,0.90855100
0.948,0.00000004,6.93033500,0.91017080
0.949,0.00000003,6.94230100,0.91179050
0.950,0.00000003,6.95427700,0.91341030
0.951,0.00000003,6.96626300,0.91503520
0.952,0.00000003,6.97825900,0.91667500
0.953,0.00000003,6.99026600,0.91831470
0.954,0.00000003,7.00228300,0.91995450
0.955,0.00000002,7.01431100,0.92159420
0.956,0.00000002,7.02634800,0.92324090
0.957,0.00000002,7.03839600,0.92490230
0.958,0.00000002,7.05045500,0.92656360
0.959,0.00000002,7.06252400,0.92822500
0.960,0.00000002,7.07460300,0.92988640
0.961,0.00000002,7.08669200,0.93154770
0.962,0.00000002,7.09879200,0.93322360
0.963,0.00000001,7.11090200,0.93490570
0.964,0.00000001,7.12302200,0.93658770
0.965,0.00000001,7.13515300,0.93826970
0.966,0.00000001,7.14729400,0.93995180
0.967,0.00000001,7.15944500,0.94165330
0.968,0.00000001,7.17160600,0.94335730
0.969,0.00000001,7.18377800,0.94506130
0.970,0.00000001,7.19596100,0.94676530
0.971,0.00000001,7.20815300,0.94846930
0.972,0.00000001,7.22035600,0.95018220
0.973,0.00000001,7.23256900,0.95190800
0.974,0.00000001,7.24479300,0.95363370
0.975,0.00000001,7.25702700,0.95535950
0.976,0.00000001,7.26927100,0.95708530
0.977,0.00000001,7.28152500,0.95882710
0.978,0.00000001,7.29379000,0.96057530
0.979,0.00000001,7.30606500,0.96232350
0.980,0.00000001,7.31835100,0.96407160
0.981,0.00000000,7.33064700,0.96581980
0.982,0.00000000,7.34295300,0.96757610
0.983,0.00000000,7.35526900,0.96934610
0.984,0.00000000,7.36759600,0.97111610
0.985,0.00000000,7.37993300,0.97288610
0.986,0.00000000,7.39228000,0.97465610
0.987,0.00000000,7.40463800,0.97644310
0.988,0.00000000,7.41700600,0.97823420
0.989,0.00000000,7.42938400,0.98002540
0.990,0.00000000,7.44177300,0.98181650
0.991,0.00000000,7.45417200,0.98360770
0.992,0.00000000,7.46658100,0.98541140
0.993,0.00000000,7.47900100,0.98722390
0.994,0.00000000,7.49143100,0.98903640
0.995,0.00000000,7.50387100,0.99084890
0.996,0.00000000,7.51632200,0.99266390
0.997,0.00000000,7.52878300,0.99449790
0.998,0.00000000,7.54125400,0.99633200
0.999,0.00000000,7.55373500,0.99816600
1.000,0.00000000,7.56622700,1.00000000
