s,A(s) (GHz),B(s) (GHz),c (normalized)
0.182,2.55993600,0.80059260,0.31407580
0.183,2.54414000,0.80466290,0.31466850
0.184,2.52834400,0.80874350,0.31526120
0.185,2.51254900,0.81283440,0.31585390
0.186,2.49675300,0.81693560,0.31644670
0.187,2.48095700,0.82104720,0.31703940
0.188,2.46516100,0.82516910,0.31763210
0.189,2.44936500,0.82930130,0.31822480
0.190,2.43356900,0.83344380,0.31881750
0.191,2.41777300,0.83759660,0.31941020
0.192,2.40197800,0.84175980,0.32000290
0.193,2.38618200,0.84593330,0.32059560
0.194,2.37038600,0.85011710,0.32118830
0.195,2.35459000,0.85431120,0.32178100
0.196,2.33879400,0.85851560,0.32237380
0.197,2.32425900,0.86273040,0.32292860
0.198,2.30993200,0.86695550,0.32347720
0.199,2.29560400,0.87119090,0.32402580
0.200,2.28127700,0.87543660,0.32457440
0.201,2.26694900,0.87969270,0.32512310
0.202,2.25262200,0.88395900,0.32567170
0.203,2.23829400,0.88823570,0.32622030
0.204,2.22396700,0.89252270,0.32676890
0.205,2.20963900,0.89682000,0.32731750
0.206,2.19531200,0.90112770,0.32786620
0.207,2.18098400,0.90544570,0.32841480
0.208,2.16665800,0.90977400,0.32896340
0.209,2.15366700,0.91411260,0.32947340
0.210,2.14067700,0.91846150,0.32998350
0.211,2.12768600,0.92282070,0.33049360
0.212,2.11469600,0.92719030,0.33100360
0.213,2.10170500,0.93157020,0.33151370
0.214,2.08871500,0.93596040,0.33202380
0.215,2.07572400,0.94036100,0.33253380
0.216,2.06273300,0.94477180,0.33304390
0.217,2.04974300,0.94919300,0.33355400
0.218,2.03675200,0.95362450,0.33406400
0.219,2.02376200,0.95806630,0.33457410
0.220,2.01077100,0.96251840,0.33508420
0.221,1.99778100,0.96698090,0.33559420
0.222,1.98479000,0.97145370,0.33610430
0.223,1.97180000,0.97593680,0.33661440
0.224,1.95880900,0.98043020,0.33712440
0.225,1.94581900,0.98493390,0.33763450
0.226,1.93282800,0.98944800,0.33814460
0.227,1.91983800,0.99397240,0.33865460
0.228,1.90684700,0.99850710,0.33916470
0.229,1.89405000,1.00305200,0.33966990
0.230,1.88222700,1.00760700,0.34015060
0.231,1.87040400,1.01217300,0.34063120
0.232,1.85858200,1.01674900,0.34111190
0.233,1.84675900,1.02133500,0.34159250
0.234,1.83493700,1.02593200,0.34207320
0.235,1.82311400,1.03053900,0.34255390
0.236,1.81129100,1.03515600,0.34303450
0.237,1.79946900,1.03978400,0.34351520
0.238,1.78764600,1.04442200,0.34399580
0.239,1.77582400,1.04907000,0.34447650
0.240,1.76400100,1.05372800,0.34495710
0.241,1.75217900,1.05839700,0.34543780
0.242,1.74035600,1.06307700,0.34591850
0.243,1.72853300,1.06776600,0.34639910
0.244,1.71694900,1.07246600,0.34687440
0.245,1.70621100,1.07717600,0.34733040
0.246,1.69547200,1.08189600,0.34778640
0.247,1.68473400,1.08662700,0.34824240
0.248,1.67399500,1.09136800,0.34869840
0.249,1.66325700,1.09612000,0.34915440
0.250,1.65251800,1.10088200,0.34961040
0.251,1.64178000,1.10565400,0.35006640
0.252,1.63104100,1.11043600,0.35052240
0.253,1.62030300,1.11522900,0.35097840
0.254,1.60956400,1.12003200,0.35143440
0.255,1.59882600,1.12484500,0.35189040
0.256,1.58808700,1.12966900,0.35234640
0.257,1.57734900,1.13450300,0.35280240
0.258,1.56661000,1.13934700,0.35325840
0.259,1.55587200,1.14420200,0.35371440
0.260,1.54513300,1.14906700,0.35417040
0.261,1.53439500,1.15394200,0.35462640
0.262,1.52365600,1.15882800,0.35508240
0.263,1.51291800,1.16372400,0.35553840
0.264,1.50217900,1.16863000,0.35599440
0.265,1.49144100,1.17354600,0.35645040
0.266,1.48108800,1.17847300,0.35689900
0.267,1.47139700,1.18341000,0.35733480
0.268,1.46170500,1.18835800,0.35777070
0.269,1.45201400,1.19331600,0.35820650
0.270,1.44232300,1.19828400,0.35864240
0.271,1.43263100,1.20326200,0.35907820
0.272,1.42294000,1.20825100,0.35951410
0.273,1.41324800,1.21325000,0.35994990
0.274,1.40355700,1.21826000,0.36038580
0.275,1.39386600,1.22328000,0.36082160
0.276,1.38417400,1.22831000,0.36125750
0.277,1.37448300,1.23335000,0.36169330
0.278,1.36479200,1.23840100,0.36212920
0.279,1.35510000,1.24346200,0.36256500
0.280,1.34540900,1.24853300,0.36300090
0.281,1.33571800,1.25361500,0.36343670
0.282,1.32602600,1.25870700,0.36387260
0.283,1.31633500,1.26380900,0.36430840
0.284,1.30705400,1.26892200,0.36473840
0.285,1.29825700,1.27404500,0.36516130
0.286,1.28946100,1.27917800,0.36558430
0.287,1.28066500,1.28432200,0.36600720
0.288,1.27186800,1.28947600,0.36643020
0.289,1.26307200,1.29464000,0.36685310
0.290,1.25427500,1.29981500,0.36727610
0.291,1.24547900,1.30499900,0.36769900
0.292,1.23668200,1.31019500,0.36812200
0.293,1.22788600,1.31540000,0.36854490
0.294,1.21908900,1.32061600,0.36896790
0.295,1.21029300,1.32584200,0.36939080
0.296,1.20149700,1.33107900,0.36981380
0.297,1.19270000,1.33632600,0.37023670
0.298,1.18390400,1.34158300,0.37065970
0.299,1.17510700,1.34685000,0.37108260
0.300,1.16631100,1.35212800,0.37150560
0.301,1.15751400,1.35741600,0.37192850
0.302,1.14871800,1.36271500,0.37235140
0.303,1.13992200,1.36802300,0.37277440
0.304,1.13112500,1.37334200,0.37319730
0.305,1.12232900,1.37867200,0.37362030
0.306,1.11363200,1.38401100,0.37404230
0.307,1.10573700,1.38936100,0.37445630
0.308,1.09784300,1.39472200,0.37487030
0.309,1.08994800,1.40009200,0.37528440
0.310,1.08205400,1.40547300,0.37569840
